,name,slug_club,displayName,slug_player,status.lastFiveSo5Appearances,status.lastFiveSo5AverageScore,status.lastFifteenSo5Appearances,status.lastFifteenSo5AverageScore,status.playingStatus,position,score,level_score,mins_played,yellow_card,was_fouled,error_lead_to_shot,double_double,triple_double,triple_triple,poss_lost_ctrl,duel_lost,duel_won,big_chance_created,adjusted_total_att_assist,accurate_pass,successful_final_third_passes,ontarget_scoring_att,won_contest,pen_area_entries,penalty_kick_missed,big_chance_missed,saves,saved_ibox,good_high_claim,punches,dive_save,dive_catch,cross_not_claimed,six_second_violation,gk_smother,accurate_keeper_sweeper,goals,accurate_long_balls,missed_pass,three_goals_conceded,clean_sheet_60,penalty_save,fouls,goals_conceded,won_tackle,blocked_cross,outfielder_block,poss_won,interception_won,effective_clearance,long_pass_own_to_opp_success,penalty_conceded,goal_assist,assist_penalty_won,red_card,last_man_tackle,error_lead_to_goal,clearance_off_line,own_goals
0,AS Monaco FC,monaco-monaco,Aleksandr Golovin,aleksandr-golovin,2,29.95,8,43.525,substitute,Midfielder,11.98,0.0,12.4,0.0,0.4,0.0,0.0,0.0,0.0,2.4,0.6,0.8,0.0,0.0,5.2,3.4,0.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AS Monaco FC,monaco-monaco,Alexander Nübel,alexander-nubel,5,50.62,14,48.94999999999999,starter,Goalkeeper,50.62,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.4,4.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AS Monaco FC,monaco-monaco,Aurélien Platret,aurelien-platret,0,0.0,0,0.0,not_playing,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AS Monaco FC,monaco-monaco,Aurélien Tchouaméni,aurelien-tchouameni,4,58.35,13,59.53846153846154,starter,Midfielder,46.68,0.0,60.8,0.0,1.2,0.0,0.4,0.2,0.0,9.6,4.6,8.0,0.4,1.0,39.2,7.2,0.4,1.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,7.6,0.0,0.0,0.0,1.8,0.8,0.8,0.0,0.0,6.4,1.8,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
4,AS Monaco FC,monaco-monaco,Axel Disasi,axel-disasi,5,56.37999999999999,13,51.46923076923077,starter,Defender,56.379999999999995,0.0,90.0,0.2,0.0,0.0,0.2,0.0,0.0,7.6,3.2,4.6,0.0,0.4,49.6,6.8,0.2,0.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,7.4,0.0,0.4,0.0,1.6,1.2,0.4,0.0,1.2,6.8,2.0,1.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AS Monaco FC,monaco-monaco,Benoît Badiashile,benoit-badiashile-mukinayi,0,0.0,3,53.46666666666667,not_playing,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AS Monaco FC,monaco-monaco,Caio Henrique,caio-henrique-oliveira-silva,4,44.475,13,43.45384615384615,starter,Defender,35.58,0.0,71.8,0.4,0.0,0.0,0.2,0.2,0.0,19.2,3.4,5.0,0.4,1.4,33.8,13.0,0.2,0.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.4,0.0,1.2,0.6,1.0,0.2,0.4,5.0,0.8,0.6,2.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
7,AS Monaco FC,monaco-monaco,Chrislain Matsima,chrislain-matsima,1,22.4,5,32.92,not_playing,Defender,4.4799999999999995,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AS Monaco FC,monaco-monaco,Djibril Sidibé,djibril-sidibe,2,30.4,8,39.8625,substitute,Defender,12.16,0.0,23.6,0.2,0.0,0.0,0.0,0.0,0.0,6.4,1.2,1.6,0.0,0.2,9.6,3.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,5.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.6,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AS Monaco FC,monaco-monaco,Eliot Matazo,eliot-matazo,4,27.9,11,30.73636363636363,substitute,Midfielder,22.32,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.6,0.8,0.0,0.0,8.2,1.8,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.0,0.0,0.0,0.6,0.8,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
