time;weather_code (wmo code);temperature_2m_max (°C);temperature_2m_min (°C);temperature_2m_mean (°C);precipitation_sum (mm);rain_sum (mm);precipitation_hours (h);wind_speed_10m_max (km/h)
2022-01-01;63;27.3;22.3;25.3;5.70;5.70;9.0;25.2
2022-01-02;2;29.6;20.6;25.6;0.00;0.00;0.0;19.6
2022-01-03;1;31.3;22.1;27.3;0.00;0.00;0.0;23.4
2022-01-04;65;32.4;21.0;27.2;11.40;11.40;4.0;36.6
2022-01-05;1;26.2;16.1;20.8;0.00;0.00;0.0;32.8
2022-01-06;1;25.4;19.3;22.3;0.00;0.00;0.0;28.6
2022-01-07;3;26.7;21.1;23.8;0.00;0.00;0.0;27.2
2022-01-08;3;28.4;22.5;24.9;0.00;0.00;0.0;28.7
2022-01-09;0;29.0;21.6;25.2;0.00;0.00;0.0;28.9
2022-01-10;0;31.9;23.1;27.2;0.00;0.00;0.0;17.9
2022-01-11;1;37.6;24.9;30.5;0.00;0.00;0.0;32.5
2022-01-12;1;29.1;21.8;25.5;0.00;0.00;0.0;30.1
2022-01-13;0;33.4;23.7;27.7;0.00;0.00;0.0;20.9
2022-01-14;0;38.9;26.8;32.7;0.00;0.00;0.0;24.5
2022-01-15;63;36.2;26.8;31.6;5.00;5.00;3.0;38.6
2022-01-16;65;32.0;24.7;28.1;17.40;17.40;3.0;28.8
2022-01-17;61;25.3;20.4;23.2;11.70;11.70;16.0;35.5
2022-01-18;63;25.0;20.3;23.1;17.40;17.40;24.0;33.7
2022-01-19;63;26.3;22.3;24.0;12.70;12.70;17.0;33.3
2022-01-20;53;27.6;22.7;25.4;1.20;1.20;3.0;28.2
2022-01-21;61;28.5;24.2;26.3;4.10;4.10;5.0;27.4
2022-01-22;63;29.2;23.7;25.8;11.90;11.90;13.0;28.3
2022-01-23;51;27.3;21.8;24.7;0.10;0.10;1.0;13.3
2022-01-24;3;28.4;23.0;25.5;0.00;0.00;0.0;16.1
2022-01-25;55;28.7;23.9;25.9;3.00;3.00;7.0;19.2
2022-01-26;61;27.2;17.5;23.8;3.40;3.40;4.0;37.9
2022-01-27;3;22.8;14.5;18.3;0.00;0.00;0.0;28.7
2022-01-28;3;22.6;16.7;19.9;0.00;0.00;0.0;17.8
2022-01-29;1;26.8;19.8;23.1;0.00;0.00;0.0;17.5
2022-01-30;0;27.7;21.5;24.6;0.00;0.00;0.0;20.9
2022-01-31;51;24.8;17.5;21.7;0.30;0.30;2.0;31.9
2022-02-01;0;26.3;18.7;22.3;0.00;0.00;0.0;20.2
2022-02-02;2;30.6;22.5;25.7;0.00;0.00;0.0;17.3
2022-02-03;63;25.1;21.3;23.1;24.20;24.20;11.0;18.3
2022-02-04;3;27.1;19.7;22.7;0.00;0.00;0.0;15.3
2022-02-05;63;22.2;16.7;19.8;8.80;8.80;9.0;30.8
2022-02-06;51;20.8;13.5;17.4;0.10;0.10;1.0;33.2
2022-02-07;3;24.4;14.4;19.1;0.00;0.00;0.0;20.1
2022-02-08;2;22.7;15.6;19.7;0.00;0.00;0.0;18.8
2022-02-09;0;25.7;18.4;21.6;0.00;0.00;0.0;21.7
2022-02-10;0;28.0;20.3;23.7;0.00;0.00;0.0;21.1
2022-02-11;53;27.8;14.9;22.3;1.80;1.80;8.0;42.1
2022-02-12;61;21.2;14.2;17.5;2.60;2.60;5.0;28.6
2022-02-13;2;24.8;11.5;18.6;0.00;0.00;0.0;20.9
2022-02-14;0;29.0;15.9;22.4;0.00;0.00;0.0;15.6
2022-02-15;0;29.8;20.1;25.1;0.00;0.00;0.0;23.7
2022-02-16;51;32.0;22.7;26.8;0.40;0.40;1.0;21.8
2022-02-17;51;24.5;18.0;20.9;0.50;0.50;2.0;32.4
2022-02-18;3;24.6;16.3;20.7;0.00;0.00;0.0;24.5
2022-02-19;1;26.4;20.2;23.0;0.00;0.00;0.0;23.1
2022-02-20;63;22.9;17.7;21.0;32.20;32.20;20.0;27.8
2022-02-21;2;25.8;16.2;20.5;0.00;0.00;0.0;23.8
2022-02-22;51;24.3;16.6;20.6;0.60;0.60;4.0;16.9
2022-02-23;1;23.4;18.7;21.2;0.00;0.00;0.0;28.2
2022-02-24;63;23.7;19.5;21.7;18.10;18.10;15.0;29.8
2022-02-25;3;25.6;14.9;21.2;0.00;0.00;0.0;14.5
2022-02-26;65;28.6;22.3;24.7;17.80;17.80;10.0;19.2
2022-02-27;65;27.7;22.0;24.2;35.60;35.60;19.0;21.0
2022-02-28;3;26.4;18.0;22.1;0.00;0.00;0.0;26.2
2022-03-01;0;24.8;16.0;20.6;0.00;0.00;0.0;22.5
2022-03-02;0;28.2;18.6;22.9;0.00;0.00;0.0;25.1
2022-03-03;1;24.4;20.0;22.1;0.00;0.00;0.0;25.9
2022-03-04;55;26.0;22.0;23.6;2.00;2.00;2.0;18.6
2022-03-05;61;23.7;21.3;22.6;7.10;7.10;10.0;24.9
2022-03-06;63;25.1;20.7;22.7;6.50;6.50;2.0;26.1
2022-03-07;65;25.3;18.6;21.9;41.10;41.10;7.0;28.5
2022-03-08;0;24.5;15.9;20.7;0.00;0.00;0.0;15.5
2022-03-09;63;22.1;17.8;19.8;14.90;14.90;10.0;24.7
2022-03-10;3;23.4;15.9;19.4;0.00;0.00;0.0;20.9
2022-03-11;1;22.8;14.6;18.6;0.00;0.00;0.0;23.0
